               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077494,            0.061273,            0.052769,             0.56044,             0.29594,             0.18148,            0.074516,            0.060207,             0.02981,            0.033376,            0.070137,           0.0033181,           0.0033181
                   1,            0.058152,            0.049605,            0.035478,             0.48602,             0.45276,             0.37737,             0.19957,            0.050646,            0.026649,            0.024824,            0.039478,            0.005993,            0.005993
                   2,            0.053005,            0.046058,            0.028351,             0.54977,              0.5581,              0.5085,              0.2657,            0.044673,            0.025713,            0.020205,             0.00816,           0.0080078,           0.0080078
                   3,             0.04671,            0.044895,            0.023989,             0.70676,              0.5834,             0.61887,              0.3618,            0.039122,            0.026209,            0.019232,             0.00703,             0.00703,             0.00703
                   4,            0.043505,            0.044557,            0.021564,             0.70567,             0.59384,             0.62934,             0.40803,            0.038545,            0.025899,            0.016972,             0.00703,             0.00703,             0.00703
                   5,            0.040223,            0.043792,            0.020185,              0.7243,             0.63559,             0.66561,             0.41797,             0.03586,            0.025185,            0.015517,             0.00604,             0.00604,             0.00604
                   6,            0.037987,            0.042405,            0.018705,             0.79127,             0.60311,             0.67813,             0.44485,            0.034731,              0.0253,            0.015134,             0.00505,             0.00505,             0.00505
                   7,            0.035986,            0.041846,            0.017351,             0.74056,             0.65747,             0.70852,              0.4869,            0.033648,            0.024717,            0.016894,             0.00406,             0.00406,             0.00406
                   8,             0.03418,            0.040559,            0.016588,             0.73972,             0.67701,             0.71735,             0.50004,            0.032941,            0.024396,            0.014405,             0.00307,             0.00307,             0.00307
                   9,            0.032912,            0.039309,            0.015225,             0.71775,             0.68865,             0.73509,             0.51263,            0.031951,            0.024178,            0.013491,             0.00208,             0.00208,             0.00208
